customer_id,price_range,customer_support,run_type,arch_type,customer_gender
1,220,Support,Trail,Medium Arch,Men's
2,213,Support,Trail,High Arch,Women's
3,70,Max Support,Road,Flat Arch,Men's
4,156,Support,Trail,High Arch,Men's
5,165,Support,Road,High Arch,Women's
6,120,Support,Trail,Flat Arch,Women's
7,122,Max Support,Road,Medium Arch,Men's
8,186,Support,Trail,Medium Arch,Men's
9,158,Neutral,Road,Medium Arch,Women's
10,210,Neutral,Road,High Arch,Women's
11,232,Max Support,Road,Flat Arch,Women's
12,96,Support,Road,Flat Arch,Men's
13,241,Max Support,Trail,High Arch,Men's
14,114,Max Support,Trail,Medium Arch,Women's
15,242,Support,Road,Flat Arch,Men's
16,227,Support,Trail,Medium Arch,Women's
17,124,Max Support,Trail,Flat Arch,Women's
18,166,Neutral,Trail,Medium Arch,Men's
19,100,Support,Road,Flat Arch,Women's
20,110,Support,Road,High Arch,Men's
21,219,Neutral,Trail,Medium Arch,Men's
22,105,Neutral,Road,High Arch,Men's
23,188,Support,Road,Flat Arch,Men's
24,194,Support,Road,High Arch,Men's
25,168,Max Support,Trail,Flat Arch,Women's
26,168,Neutral,Trail,Flat Arch,Men's
27,250,Neutral,Road,Flat Arch,Men's
28,133,Support,Road,High Arch,Men's
29,235,Max Support,Trail,High Arch,Men's
30,248,Support,Trail,Medium Arch,Men's
31,196,Support,Trail,Medium Arch,Women's
32,206,Neutral,Trail,High Arch,Men's
33,197,Neutral,Trail,Medium Arch,Women's
34,250,Max Support,Road,Flat Arch,Women's
35,179,Support,Road,Flat Arch,Men's
36,120,Neutral,Road,Medium Arch,Women's
37,192,Support,Road,Medium Arch,Women's
38,144,Support,Trail,Medium Arch,Men's
39,198,Max Support,Road,Medium Arch,Men's
40,155,Max Support,Road,Medium Arch,Women's
41,200,Max Support,Trail,Medium Arch,Women's
42,167,Neutral,Trail,High Arch,Women's
43,180,Max Support,Trail,Flat Arch,Men's
44,78,Support,Road,Flat Arch,Women's
45,208,Support,Trail,Medium Arch,Women's
46,225,Neutral,Road,Flat Arch,Women's
47,204,Support,Road,High Arch,Men's
48,169,Neutral,Road,Flat Arch,Women's
49,191,Support,Road,High Arch,Women's
50,148,Max Support,Trail,Medium Arch,Men's
51,237,Support,Road,Medium Arch,Women's
52,132,Support,Road,Medium Arch,Women's
53,72,Neutral,Road,High Arch,Men's
54,165,Neutral,Road,Medium Arch,Men's
55,242,Neutral,Trail,Flat Arch,Women's
56,80,Neutral,Road,Medium Arch,Women's
57,207,Support,Trail,Medium Arch,Women's
58,191,Support,Trail,Flat Arch,Women's
59,232,Support,Road,High Arch,Women's
60,229,Support,Road,High Arch,Men's
61,104,Max Support,Road,Medium Arch,Men's
62,248,Support,Trail,High Arch,Men's
63,91,Support,Trail,Flat Arch,Men's
64,190,Neutral,Trail,High Arch,Women's
65,127,Support,Road,Flat Arch,Women's
66,223,Max Support,Trail,Flat Arch,Men's
67,185,Max Support,Road,High Arch,Men's
68,235,Max Support,Trail,Medium Arch,Men's
69,197,Support,Road,High Arch,Men's
70,170,Support,Trail,Medium Arch,Women's
71,228,Max Support,Trail,Medium Arch,Men's
72,90,Neutral,Road,High Arch,Women's
73,146,Support,Road,Flat Arch,Women's
74,216,Max Support,Trail,Medium Arch,Men's
75,120,Max Support,Road,High Arch,Women's
76,111,Neutral,Trail,Flat Arch,Men's
77,145,Max Support,Road,Flat Arch,Men's
78,181,Support,Road,High Arch,Women's
79,226,Max Support,Road,Flat Arch,Women's
80,171,Support,Trail,Medium Arch,Women's
81,143,Neutral,Road,Flat Arch,Women's
82,180,Max Support,Road,Flat Arch,Women's
83,170,Neutral,Trail,High Arch,Men's
84,179,Max Support,Road,High Arch,Women's
85,226,Max Support,Road,Medium Arch,Women's
86,179,Max Support,Trail,Flat Arch,Men's
87,163,Support,Trail,Flat Arch,Men's
88,179,Neutral,Trail,Medium Arch,Men's
89,218,Support,Trail,Flat Arch,Women's
90,226,Neutral,Trail,Medium Arch,Women's
91,96,Neutral,Road,Medium Arch,Women's
92,143,Support,Road,Flat Arch,Women's
93,180,Support,Trail,Flat Arch,Women's
94,100,Neutral,Road,Medium Arch,Men's
95,172,Max Support,Road,High Arch,Women's
96,161,Support,Road,High Arch,Men's
97,122,Max Support,Trail,Medium Arch,Men's
98,165,Max Support,Road,Medium Arch,Men's
99,103,Neutral,Trail,Medium Arch,Men's
100,153,Max Support,Trail,Flat Arch,Men's
101,127,Support,Trail,Medium Arch,Women's
102,191,Support,Road,Medium Arch,Men's
103,99,Neutral,Trail,High Arch,Men's
104,97,Neutral,Road,Medium Arch,Women's
105,201,Max Support,Trail,Flat Arch,Women's
106,242,Max Support,Trail,Flat Arch,Women's
107,232,Support,Road,High Arch,Women's
108,74,Support,Road,Flat Arch,Women's
109,228,Support,Trail,Medium Arch,Women's
110,195,Support,Road,Medium Arch,Men's
111,186,Neutral,Road,Flat Arch,Women's
112,122,Neutral,Road,Medium Arch,Men's
113,225,Support,Trail,High Arch,Women's
114,188,Support,Road,Medium Arch,Women's
115,228,Support,Trail,Medium Arch,Women's
116,149,Max Support,Road,Flat Arch,Men's
117,112,Support,Trail,High Arch,Men's
118,238,Max Support,Trail,Flat Arch,Men's
119,228,Neutral,Trail,Flat Arch,Men's
120,222,Neutral,Road,Medium Arch,Women's
121,134,Max Support,Road,Flat Arch,Women's
122,103,Support,Road,Flat Arch,Men's
123,172,Support,Road,Flat Arch,Men's
124,221,Neutral,Trail,Medium Arch,Women's
125,202,Support,Road,Flat Arch,Women's
126,104,Neutral,Trail,Flat Arch,Women's
127,134,Neutral,Trail,High Arch,Women's
128,110,Neutral,Trail,High Arch,Women's
129,72,Support,Trail,Flat Arch,Women's
130,81,Support,Trail,Medium Arch,Men's
131,187,Support,Road,High Arch,Men's
132,197,Neutral,Trail,High Arch,Men's
133,79,Max Support,Road,High Arch,Women's
134,223,Neutral,Road,Flat Arch,Men's
135,220,Neutral,Trail,Medium Arch,Men's
136,183,Neutral,Trail,High Arch,Women's
137,137,Support,Road,Flat Arch,Women's
138,198,Neutral,Trail,High Arch,Men's
139,213,Support,Road,Medium Arch,Men's
140,85,Neutral,Trail,High Arch,Women's
141,218,Neutral,Trail,Flat Arch,Men's
142,238,Max Support,Road,High Arch,Men's
143,87,Max Support,Trail,High Arch,Women's
144,195,Support,Road,Medium Arch,Men's
145,84,Support,Trail,High Arch,Women's
146,91,Support,Trail,High Arch,Men's
147,152,Support,Road,High Arch,Men's
148,246,Max Support,Trail,High Arch,Women's
149,74,Neutral,Road,High Arch,Women's
150,149,Support,Road,High Arch,Women's
151,234,Support,Road,Medium Arch,Men's
152,130,Support,Road,High Arch,Men's
153,206,Support,Trail,Flat Arch,Women's
154,249,Neutral,Road,Flat Arch,Women's
155,190,Max Support,Road,High Arch,Men's
156,73,Max Support,Trail,Flat Arch,Women's
157,238,Support,Road,High Arch,Men's
158,221,Neutral,Road,High Arch,Women's
159,80,Neutral,Road,Medium Arch,Men's
160,178,Support,Trail,Flat Arch,Women's
161,170,Max Support,Road,High Arch,Women's
162,209,Neutral,Road,Medium Arch,Women's
163,170,Max Support,Trail,Flat Arch,Men's
164,149,Max Support,Trail,Flat Arch,Women's
165,223,Neutral,Road,High Arch,Women's
166,81,Support,Road,Flat Arch,Women's
167,172,Support,Trail,Medium Arch,Men's
168,177,Support,Trail,Flat Arch,Men's
169,136,Neutral,Trail,Flat Arch,Men's
170,86,Neutral,Trail,High Arch,Men's
171,209,Max Support,Road,High Arch,Women's
172,73,Neutral,Road,Flat Arch,Women's
173,209,Support,Road,Flat Arch,Women's
174,214,Support,Trail,High Arch,Women's
175,92,Neutral,Trail,Medium Arch,Men's
176,243,Support,Road,Flat Arch,Men's
177,97,Max Support,Trail,Flat Arch,Men's
178,205,Neutral,Trail,High Arch,Men's
179,120,Max Support,Road,Medium Arch,Men's
180,128,Support,Road,Medium Arch,Men's
181,89,Neutral,Trail,High Arch,Men's
182,150,Neutral,Road,High Arch,Women's
183,233,Neutral,Trail,High Arch,Women's
184,179,Neutral,Trail,High Arch,Women's
185,147,Support,Trail,High Arch,Men's
186,142,Support,Trail,High Arch,Women's
187,160,Neutral,Trail,Medium Arch,Men's
188,80,Neutral,Road,Flat Arch,Men's
189,70,Max Support,Road,Flat Arch,Women's
190,107,Neutral,Road,Flat Arch,Men's
